0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:31:50 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:30 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:30 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:38 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:32:38 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:14 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:14 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:21 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:33:21 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:39 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:39 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:54 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:34:54 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:35:36 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:35:36 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:35:52 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:35:52 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:35:57 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:35:58 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:36:53 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:36:53 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:36:57 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:36:57 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/.../image/homecheflogo.png HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:37:53 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:37:53 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/image/homecheflogo.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:19 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:19 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/image/homecheflogo.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1380
